#           k/h    P           
   0.105001E-04   0.493209E+02
   0.106056E-04   0.498005E+02
   0.107122E-04   0.502847E+02
   0.108199E-04   0.507737E+02
   0.109286E-04   0.512674E+02
   0.110384E-04   0.517659E+02
   0.111494E-04   0.522693E+02
   0.112614E-04   0.527776E+02
   0.113746E-04   0.532908E+02
   0.114889E-04   0.538090E+02
   0.116044E-04   0.543322E+02
   0.117210E-04   0.548605E+02
   0.118388E-04   0.553940E+02
   0.119578E-04   0.559326E+02
   0.120780E-04   0.564765E+02
   0.121993E-04   0.570257E+02
   0.123220E-04   0.575802E+02
   0.124458E-04   0.581401E+02
   0.125709E-04   0.587054E+02
   0.126972E-04   0.592763E+02
   0.128248E-04   0.598527E+02
   0.129537E-04   0.604347E+02
   0.130839E-04   0.610223E+02
   0.132154E-04   0.616157E+02
   0.133482E-04   0.622149E+02
   0.134824E-04   0.628198E+02
   0.136179E-04   0.634307E+02
   0.137547E-04   0.640475E+02
   0.138930E-04   0.646703E+02
   0.140326E-04   0.652991E+02
   0.141736E-04   0.659341E+02
   0.143161E-04   0.665752E+02
   0.144599E-04   0.672226E+02
   0.146053E-04   0.678762E+02
   0.147521E-04   0.685362E+02
   0.149003E-04   0.692027E+02
   0.150501E-04   0.698756E+02
   0.152013E-04   0.705551E+02
   0.153541E-04   0.712411E+02
   0.155084E-04   0.719339E+02
   0.156643E-04   0.726333E+02
   0.158217E-04   0.733396E+02
   0.159807E-04   0.740528E+02
   0.161413E-04   0.747728E+02
   0.163035E-04   0.754999E+02
   0.164674E-04   0.762341E+02
   0.166329E-04   0.769753E+02
   0.168001E-04   0.777239E+02
   0.169689E-04   0.784796E+02
   0.171394E-04   0.792427E+02
   0.173117E-04   0.800133E+02
   0.174857E-04   0.807913E+02
   0.176614E-04   0.815769E+02
   0.178389E-04   0.823701E+02
   0.180182E-04   0.831711E+02
   0.181993E-04   0.839798E+02
   0.183822E-04   0.847965E+02
   0.185669E-04   0.856210E+02
   0.187535E-04   0.864536E+02
   0.189420E-04   0.872942E+02
   0.191324E-04   0.881430E+02
   0.193247E-04   0.890001E+02
   0.195189E-04   0.898655E+02
   0.197151E-04   0.907394E+02
   0.199132E-04   0.916217E+02
   0.201133E-04   0.925126E+02
   0.203155E-04   0.934122E+02
   0.205196E-04   0.943205E+02
   0.207259E-04   0.952377E+02
   0.209342E-04   0.961637E+02
   0.211446E-04   0.970988E+02
   0.213571E-04   0.980429E+02
   0.215717E-04   0.989963E+02
   0.217885E-04   0.999589E+02
   0.220075E-04   0.100931E+03
   0.222287E-04   0.101912E+03
   0.224521E-04   0.102903E+03
   0.226777E-04   0.103904E+03
   0.229056E-04   0.104914E+03
   0.231358E-04   0.105934E+03
   0.233683E-04   0.106964E+03
   0.236032E-04   0.108005E+03
   0.238404E-04   0.109055E+03
   0.240800E-04   0.110115E+03
   0.243220E-04   0.111186E+03
   0.245665E-04   0.112267E+03
   0.248134E-04   0.113359E+03
   0.250627E-04   0.114461E+03
   0.253146E-04   0.115574E+03
   0.255690E-04   0.116698E+03
   0.258260E-04   0.117832E+03
   0.260856E-04   0.118978E+03
   0.263477E-04   0.120135E+03
   0.266125E-04   0.121303E+03
   0.268800E-04   0.122483E+03
   0.271502E-04   0.123674E+03
   0.274230E-04   0.124876E+03
   0.276986E-04   0.126090E+03
   0.279770E-04   0.127317E+03
   0.282582E-04   0.128554E+03
   0.285422E-04   0.129805E+03
   0.288290E-04   0.131067E+03
   0.291188E-04   0.132341E+03
   0.294114E-04   0.133628E+03
   0.297070E-04   0.134927E+03
   0.300056E-04   0.136239E+03
   0.303071E-04   0.137564E+03
   0.306117E-04   0.138902E+03
   0.309194E-04   0.140252E+03
   0.312301E-04   0.141616E+03
   0.315440E-04   0.142993E+03
   0.318610E-04   0.144383E+03
   0.321812E-04   0.145787E+03
   0.325046E-04   0.147205E+03
   0.328313E-04   0.148636E+03
   0.331613E-04   0.150081E+03
   0.334945E-04   0.151541E+03
